순번,ID,제품군,세부 유형,브랜드,정확한 제품명,현재 판정,완제품 제조국,국내 판매 상태,대상 월령,월령 근거,KC 대상 여부,KC 인증번호,확인 플랫폼,확인일,판정·검증 사유,출처 URL,데이터 품질,누적 이력,대시보드 그룹,적용 안전제도,규제 기준 메모,사용자 판정명,재검증 상태,KC 인증상태,KC 인증일자,KC 인증변경일자,KC 인증변경사유,KC 인증구분,KC 인증기관,Safety Korea 상세 URL,KC 품목명,KC 모델명,KC 제조사,KC 수입업체,연관 인증번호,duplicateOf,canonicalProductId
1,TOY-20260729-001,완구,딸랑이,베이비쥬,안심 우주선딸랑이,보류,미확인 ❓,현재 구매 가능,0개월 이상,공식 판매 페이지: 신생아,어린이제품 확인 필요,미확인,다나와 · SSG.COM · 신세계몰 · 쿠팡 · G마켓 · Safety Korea 검색,2026-09-02,2026-09-02 구매 가능한 개별 판매 페이지와 연령 근거는 확인했으나 판매 페이지에서 동일 제품 KC 번호를 확인하지 못해 보류한다. https://m.danawa.com/product/product.html?code=26585312,"https://m.danawa.com/product/product.html?code=26585312
https://www.ssg.com/item/itemView.ssg?itemId=1000606690153&siteNo=6004&salestrNo=6005
https://www.coupang.com/vp/products/9475582873
https://www.gmarket.co.kr/n/search?keyword=%EB%B2%A0%EC%9D%B4%EB%B9%84%EC%A5%AC
https://www.safetykorea.kr/release/certificationsearch
https://emart.ssg.com/item/itemView.ssg?itemId=1000606690153&siteNo=6001&salestrNo=6005
https://prod.danawa.com/info/?pcode=26585312
https://search.danawa.com/dsearch.php?query=%EB%B2%A0%EC%9D%B4%EB%B9%84%EC%A5%AC",추가 확인 필요,2026-08-03 엄격 2차 전수검증 · 보류 → 보류 | 2026-08-04 상위권·ING 엄격 재검증 · 보류 → 보류 | 2026-08-04 상위권·ING 엄격 재검증 · 보류 → 보류 | 2026-08-04 상위권·ING 엄격 재검증 · 보류 → 보류,딸랑이·촉감·래틀,어린이제품안전특별법 · 제품별 안전확인 인증 조회,동일 모델의 공식 KC 인증번호와 제조국과 대상월령 확인 전 보류,추가 확인 중,판매 페이지 동일 제품 KC 번호 확인 필요,확인 필요,,,,,,https://www.safetykorea.kr/release/certificationsearch,,,/브랜드,,,,TOY-20260729-001
2,TOY-20260729-002,완구,딸랑이,오즈토이,퍼니 딸랑이 볼 C313,보류,미확인 ❓,구매 기능 확인 불가,0~35개월,쿠팡은 최소연령 3개월로 표기하나 제조사·공식 인증자료의 동일 모델 월령 근거는 미확인,어린이제품 확인 필요,미확인,이마트몰 SSG.COM · 쿠팡,2026-09-02,2026-09-02 개별 판매 페이지에서 구매 기능 확인 불가 표식을 확인했으나 공식 판매 종료·단종 근거를 추가 검증할 때까지 보류한다. https://minishop.gmarket.co.kr/toyshop/List?Category=200000575&Page=1&PageSize=60&isStarDeliveryItem=False&HasDiscount=False&HasStamp=False&IsInternationalShipping=False&MaxPrice=0&Roles=System.String%5B%5D&NeedToGetSDBrandName=True&OnlyBoughtItem=False,"https://minishop.gmarket.co.kr/toyshop/List?Category=200000575&Page=1&PageSize=60&isStarDeliveryItem=False&HasDiscount=False&HasStamp=False&IsInternationalShipping=False&MaxPrice=0&Roles=System.String%5B%5D&NeedToGetSDBrandName=True&OnlyBoughtItem=False
https://emart.ssg.com/item/itemView.ssg?itemId=1000436289223&siteNo=6001&salestrNo=6005
https://www.coupang.com/vp/products/6567868064
https://www.coupang.com/vp/products/9306097936
https://www.safetykorea.kr/release/certificationsearch",추가 확인 필요,2026-08-03 엄격 2차 전수검증 · 보류 → 보류 | 2026-08-04 상위권·ING 엄격 재검증 · 보류 → 보류 | 2026-08-04 상위권·ING 엄격 재검증 · 보류 → 보류 | 2026-08-04 상위권·ING 엄격 재검증 · 보류 → 보류,딸랑이·촉감·래틀,어린이제품안전특별법 · 제품별 안전확인 인증 조회,오픈마켓 최소연령 표기는 참고만 사용 · 동일 모델 공식 KC와 제조국과 월령 확인 전 보류,추가 확인 중,구매 기능 확인 불가 · 공식 근거 추가 확인 필요,인증번호 확인 중,,,,,,https://www.safetykorea.kr/release/certificationsearch,,미확인,미확인,,,,TOY-20260729-002
3,TOY-20260729-003,완구,딸랑이/치발기,므몽,딸랑이 치발기 모음,보류,미확인 ❓,현재 구매 불가,확인 중,판매 페이지에서 멜로디 아기해마 등 서로 다른 제품 옵션을 선택하는 모음형 상품으로 확인,어린이제품 확인 필요,미확인,이마트몰 SSG.COM · 쿠팡,2026-09-02,2026-09-02 개별 판매 페이지에서 현재 구매 불가 표식을 확인했으나 공식 판매 종료·단종 근거를 추가 검증할 때까지 보류한다. https://toymiso.co.kr/product/%EC%95%84%EA%B8%B0-%EB%B0%B1%EC%9D%BC-%EC%9E%A5%EB%82%9C%EA%B0%90-%EB%94%B8%EB%9E%91%EC%9D%B4-%EC%B9%98%EB%B0%9C%EA%B8%B0-%EB%AA%A8%EC%9D%8C/8166/,"https://toymiso.co.kr/product/%EC%95%84%EA%B8%B0-%EB%B0%B1%EC%9D%BC-%EC%9E%A5%EB%82%9C%EA%B0%90-%EB%94%B8%EB%9E%91%EC%9D%B4-%EC%B9%98%EB%B0%9C%EA%B8%B0-%EB%AA%A8%EC%9D%8C/8166/
https://emart.ssg.com/item/itemView.ssg?itemId=1000517873505&siteNo=6001&salestrNo=6005
https://www.coupang.com/vp/products/8589844482",추가 확인 필요,2026-08-03 엄격 2차 전수검증 · 보류 → 보류 | 2026-08-04 상위권·ING 엄격 재검증 · 보류 → 보류 | 2026-08-04 상위권·ING 엄격 재검증 · 보류 → 보류 | 2026-08-04 상위권·ING 엄격 재검증 · 보류 → 보류,딸랑이·촉감·래틀,어린이제품안전특별법 · 제품별 안전확인 인증 조회,판매처 내 서로 다른 옵션 제품을 한 행으로 합치지 않음 · 실제 모델/SKU가 확인된 경우에만 별도 제품 인정,추가 확인 중,현재 구매 불가 · 공식 근거 추가 확인 필요,확인 필요,,,,,,https://www.safetykorea.kr/release/certificationsearch,,,기준에 따릅니다.),,,,TOY-20260729-003
4,TOY-20260729-004,완구,딸랑이 미니카,핑크퐁,아기상어 딸랑이 볼 미니카,제외,중국 🇨🇳,공식 제품명과 국내 동일 3P 판매 페이지 확인,37개월 이상,동일 제품 상품고시에서 사용연령 37개월 이상 및 3세 미만 사용금지 확인,어린이제품 안전확인 대상,CB065R0700-4013,롯데마트 제타 · 예스24 · 쿠팡 · 이랜드몰,2026-08-15,"Safety Korea 적합 CB065R0700-4013의 딸랑이 볼 미니카·중국 제조를 YES24 동일 3P 상품의 같은 KC, 제조사 MINGXINBAO, 중국, 37개월 이상·3세 미만 사용 금지 고시에 대조했다. 대한민국 제조와 0~35개월 기준을 모두 충족하지 않아 제외한다.","https://www.safetykorea.kr/release/certDetail?certNum=CB065R0700-4013
https://www.yes24.com/product/goods/147561025
https://store.pinkfong.com/1096/
https://www.elandmall.co.kr/i/item?itemNo=2604375435&lowerVendNo=LV26021179
https://lottemartzetta.com/products/OS8809378088946/details
https://www.coupang.com/vp/products/8556402923
https://kidikidi.elandmall.co.kr/i/item?itemNo=2604375435&lowerVendNo=LV26021179
https://dohwazi.com/product/%ED%95%91%ED%81%AC%ED%90%81-%EC%95%84%EA%B8%B0%EC%83%81%EC%96%B4-%EB%B2%A0%EC%9D%B4%EB%B9%84%EB%B3%BC-%EB%94%B8%EB%9E%91%EC%9D%B4-%EB%AF%B8%EB%8B%88%EC%B9%B4-%EC%84%B8%ED%8A%B8/414/
https://www.momq.co.kr/shop/44537
https://kakamuka.com/product/%ED%95%91%ED%81%AC%ED%90%81-%EC%95%84%EA%B8%B0%EC%83%81%EC%96%B4-%EC%BA%A1%EC%8A%90%ED%94%BC%EA%B7%9C%EC%96%B4-12%EC%9E%85-1%ED%86%B5-%EC%9E%A5%EB%82%9C%EA%B0%90/6199/",추가 확인 필요,2026-08-03 엄격 2차 전수검증 · 보류 → 보류 | 2026-08-04 상위권·ING 엄격 재검증 · 보류 → 보류 | 2026-08-04 상위권·ING 엄격 재검증 · 보류 → 보류 | 2026-08-04 상위권·ING 엄격 재검증 · 보류 → 보류 | 2026-08-15 Codex 우선 재검증 · 보류 → 제외 · 중국 제조 및 37개월 이상 확인,딸랑이·촉감·래틀,어린이제품안전특별법 · 제품별 안전확인 인증 조회,식품과 직접 접촉하는 제품은 식품용 기구·용기·포장 기준을 우선 확인하고 완구 기능 등 별도 어린이제품 요건은 제품별 병행 확인,기준 제외,검증 완료,적합,,,,안전확인,,https://www.safetykorea.kr/release/certDetail?certNum=CB065R0700-4013,완구,딸랑이 볼 미니카,MINGXINBAO,아이윌,,,TOY-20260729-004
5,TOY-20260729-005,완구,딸랑이/치발기,그린라이프,옥수수 국민 딸랑이 치발기,보류,미확인 ❓,판매 페이지 확인,0~35개월,딸랑이·치발기 분류 및 영유아용 상품명 확인,어린이제품 확인 필요,미확인,이마트몰 SSG.COM · 신세계몰,2026-08-04,상위권·ING 엄격 재검증을 완료했으나 확정 판정에 필요한 동일 제품 직접 근거가 부족해 보류를 유지함.,"https://emart.ssg.com/item/itemView.ssg?itemId=1000629344989&siteNo=6001&salestrNo=6005
https://m-shinsegaemall.ssg.com/mall/disp/brandMain.ssg?brandId=3000033214",추가 확인 필요,2026-08-03 엄격 2차 전수검증 · 보류 → 보류 | 2026-08-04 상위권·ING 엄격 재검증 · 보류 → 보류 | 2026-08-04 상위권·ING 엄격 재검증 · 보류 → 보류 | 2026-08-04 상위권·ING 엄격 재검증 · 보류 → 보류,딸랑이·촉감·래틀,어린이제품안전특별법 · 제품별 안전확인 인증 조회,Safety Korea에서 동일 모델의 인증·신고번호와 상태를 확인하고 공식 판매 제품과 연결,추가 확인 중,엄격 근거 부족 · 추가 확인 중,인증번호 확인 중,,,,,,https://www.safetykorea.kr/release/certificationsearch,,미확인,미확인,,,,TOY-20260729-005
6,TOY-20260729-006,완구,딸랑이/촉감완구,므몽,딸랑이 써클볼,보류,미확인 ❓,현재 구매 가능,0개월 이상,공식 판매 페이지: 신생아,어린이제품 확인 필요,CB065R0358-8001,SSG.COM · 신세계몰 · 쿠팡 · 다나와 · 옥션,2026-09-02,2026-09-02 구매 가능한 개별 판매 페이지와 연령 근거는 확인했으나 판매 페이지에서 동일 제품 KC 번호를 확인하지 못해 보류한다. https://prod.danawa.com/info/?pcode=26584274,"https://prod.danawa.com/info/?pcode=26584274
https://www.ssg.com/item/itemView.ssg?itemId=1000508238782&siteNo=6004&salestrNo=6005
https://itempage3.auction.co.kr/DetailView.aspx?itemno=C274752265
https://www.coupang.com/vp/products/9414844946
https://www.safetykorea.kr/release/certificationsearch
https://emart.ssg.com/item/itemView.ssg?itemId=1000508238782&siteNo=6001&salestrNo=6005
https://www.coupang.com/vp/products/189737910?vendorItemId=78377851095&sourceType=SDP_ALSO_VIEWED",추가 확인 필요,2026-08-03 엄격 2차 전수검증 · 보류 → 보류 | 2026-08-04 상위권·ING 엄격 재검증 · 보류 → 보류 | 2026-08-04 상위권·ING 엄격 재검증 · 보류 → 보류 | 2026-08-04 상위권·ING 엄격 재검증 · 보류 → 보류,딸랑이·촉감·래틀,어린이제품안전특별법 · 제품별 안전확인 인증 조회,판매처 표시 KC CB065R0358-8001과 BABY TOY는 Safety Korea 동일 모델 직접 확인 전 최종 근거로 사용하지 않음,추가 확인 중,판매 페이지 동일 제품 KC 번호 확인 필요,확인 필요,,,,,,https://www.safetykorea.kr/release/certDetail?certNum=CB065R0358-8001,,,해피타운,,,,TOY-20260729-006
7,TOY-20260729-007,완구,래틀 미니카,베이비웍스,래틀 미니카 하마,보류,미확인 ❓,판매 페이지 확인,0~35개월,베이비 래틀 상품명과 영유아 분류는 확인했으나 공식 대상월령은 미확정,어린이제품 확인 필요,미확인,이마트몰 SSG.COM · 쿠팡,2026-08-04,상위권·ING 엄격 재검증을 완료했으나 확정 판정에 필요한 동일 제품 직접 근거가 부족해 보류를 유지함.,"https://emart.ssg.com/item/itemView.ssg?itemId=1000821272556&siteNo=6001&salestrNo=2037
https://www.coupang.com/vp/products/9533202188
https://www.safetykorea.kr/release/certificationsearch",추가 확인 필요,2026-08-03 엄격 2차 전수검증 · 보류 → 보류 | 2026-08-04 상위권·ING 엄격 재검증 · 보류 → 보류 | 2026-08-04 상위권·ING 엄격 재검증 · 보류 → 보류 | 2026-08-04 상위권·ING 엄격 재검증 · 보류 → 보류,딸랑이·촉감·래틀,어린이제품안전특별법 · 제품별 안전확인 인증 조회,판매 페이지의 KC 상세페이지 참조 표기는 최종 근거로 사용하지 않음 · 공식 동일 모델 확인 전 보류,추가 확인 중,엄격 근거 부족 · 추가 확인 중,인증번호 확인 중,,,,,,https://www.safetykorea.kr/release/certificationsearch,,미확인,미확인,,,,TOY-20260729-007
8,TOY-20260729-008,완구,래틀,할릴릿,베이비 래틀 컬러임의배송,제외,중국 🇨🇳,판매 페이지 확인,0~12개월,Halilit 공식 Baby Shaker SKU MP367의 권장연령 3개월 이상 확인. 국내 판매 제품의 컬러 임의배송 설명과 공식 제품의 Various Colours 설명이 일치,어린이제품 확인 필요,CB063R936-7001,Halilit 공식 제조사 · 이마트몰 SSG.COM · SSG.COM,2026-08-04,동일 제품의 공식 판매·표시 자료에서 완제품 제조국이 중국으로 확인되어 대한민국 제조 제품 기준에서 제외함.,"https://halilit.co.uk/products/halilit-baby-shaker
https://www.halilitmusicaltoys.com/catalog2026/
https://emart.ssg.com/item/itemView.ssg?itemId=1000597567963&siteNo=6001&salestrNo=6005
https://www.ssg.com/disp/category.ssg?dispCtgId=6000161791
https://www.safetykorea.kr/release/certificationsearch
https://inet5361.cafe24.com/product/%ED%95%A0%EB%A6%B4%EB%A6%BF-%EB%B2%A0%EC%9D%B4%EB%B9%84-%EB%9E%98%ED%8B%80-%EC%89%90%EC%9D%B4%EC%BB%A4/1230/
https://ownerclan.com/V2/product/view.php?selfcode=W5731F6",명확한 제외 근거,2026-08-03 엄격 2차 전수검증 · 보류 → 제외 | 2026-08-04 상위권·ING 엄격 재검증 · 제외 → 제외 | 2026-08-04 상위권·ING 엄격 재검증 · 제외 → 제외 · 오염 또는 동일 제품 직접 근거 부족으로 자동 상태 전환 차단,딸랑이·촉감·래틀,어린이제품안전특별법 · 제품별 안전확인 인증 조회,공식 제조사 모델 MP367과 국내 판매 제품 식별은 완료. 동일 모델의 국내 유효 KC와 완제품 제조국 확인 전 보류,기준 제외,재검증 완료,확인 필요,,,,,,https://www.safetykorea.kr/release/certDetail?certNum=CB063R936-7001,,,,,,,TOY-20260729-008
9,TOY-20260729-009,완구,촉감완구/치발기,므몽,애니멀 카볼,보류,미확인 ❓,현재 구매 가능,확인 중,0~35개월 공식 연령 근거 없음,어린이제품 확인 필요,CB065R0358-8001,SSG.COM · 레드포인트 · Safety Korea 검색,2026-09-02,2026-09-02 판매 페이지의 구매 가능 상태는 확인했으나 0~35개월 사용 근거를 확보하지 못해 보류한다. https://e-redpoint.com/member/login.html,"https://e-redpoint.com/member/login.html
https://e-redpoint.com/product/%EC%95%A0%EB%8B%88%EB%A9%80-%EC%B9%B4%EB%B3%BC/73587/
https://www.ssg.com/item/itemView.ssg?itemId=1000508206464
https://www.ssg.com/item/itemView.ssg?itemId=1000037026806
https://www.safetykorea.kr/release/certificationsearch
https://emart.ssg.com/item/itemView.ssg?itemId=1000508206464&siteNo=6001&salestrNo=6005",추가 확인 필요,2026-08-03 엄격 2차 전수검증 · 보류 → 보류 | 2026-08-04 상위권·ING 엄격 재검증 · 보류 → 보류 | 2026-08-04 상위권·ING 엄격 재검증 · 보류 → 보류 | 2026-08-04 상위권·ING 엄격 재검증 · 보류 → 보류,딸랑이·촉감·래틀,어린이제품안전특별법 · 제품별 안전확인 인증 조회,판매처 표시 KC CB065R0358-8001은 서로 다른 제품에 반복 사용됨. Safety Korea 공식 동일 모델 연결 전 재사용 금지,추가 확인 중,0~35개월 공식 연령 근거 추가 확인 필요,확인 필요,,,,,,https://www.safetykorea.kr/release/certDetail?certNum=CB065R0358-8001,,,,,,,TOY-20260729-009
10,TOY-20260729-010,완구,딸랑이/촉감완구,므몽,애니멀 딸랑이,보류,미확인 ❓,현재 구매 가능,확인 중,0~35개월 공식 연령 근거 없음,어린이제품 확인 필요,CB065R0358-8001,이마트몰 SSG.COM · 다나와,2026-09-02,2026-09-02 판매 페이지의 구매 가능 상태는 확인했으나 0~35개월 사용 근거를 확보하지 못해 보류한다. https://kidsmart.or.kr/product/28443-%EC%95%A0%EB%8B%88%EB%A9%80-%EB%94%B8%EB%9E%91%EC%9D%B4%ED%83%80%EC%9E%85%EC%84%A0%ED%83%9D/28527/,"https://kidsmart.or.kr/product/28443-%EC%95%A0%EB%8B%88%EB%A9%80-%EB%94%B8%EB%9E%91%EC%9D%B4%ED%83%80%EC%9E%85%EC%84%A0%ED%83%9D/28527/
https://emart.ssg.com/item/itemView.ssg?itemId=1000508222231&siteNo=6001&salestrNo=6005
https://emart.ssg.com/disp/category.ssg?ctgId=6000213980
https://search.danawa.com/dsearch.php?query=%EA%B5%AD%EB%AF%BC%EB%94%B8%EB%9E%91%EC%9D%B4
https://www.safetykorea.kr/release/certificationsearch",추가 확인 필요,2026-08-03 엄격 2차 전수검증 · 보류 → 보류 | 2026-08-04 상위권·ING 엄격 재검증 · 보류 → 보류 | 2026-08-04 상위권·ING 엄격 재검증 · 보류 → 보류 | 2026-08-04 상위권·ING 엄격 재검증 · 보류 → 보류,딸랑이·촉감·래틀,어린이제품안전특별법 · 제품별 안전확인 인증 조회,옵션 선택형 판매 페이지의 표시 정보는 단일 모델 공식 근거로 사용하지 않음 · 동일 모델 식별 전 KC 번호 재사용 금지,추가 확인 중,0~35개월 공식 연령 근거 추가 확인 필요,확인 필요,,,,,,https://www.safetykorea.kr/release/certDetail?certNum=CB065R0358-8001,,상품수,기준에 따릅니다.),,,,TOY-20260729-010
